index,location,lat,lon,type1_num,type2_num,type3_num,run_num,run_with_onoff_num,run_with_onoff_ratio,onoff_event_num
1,TP1,40.43045,-86.91326,0,0,4,4,4,1,14
2,TP3,40.43094,-86.9217,0,0,9,9,9,1,42
3,TP5,40.42852,-86.91488,0,0,5,5,5,1,10
4,TP16,40.42041,-86.91353,0,0,3,3,3,1,13
5,TP24,40.42306,-86.92609,0,0,7,7,7,1,29
6,TP25,40.42098,-86.92562,0,0,6,6,6,1,18
7,TP4,40.43165,-86.92683,2,0,5,7,5,0.714285714,7
8,TP12,40.42389,-86.91379,1,2,4,9,6,0.666666667,33
9,TP17,40.4215,-86.91617,25,0,42,67,42,0.626865672,98
10,TP2,40.43142,-86.91622,2,0,3,5,3,0.6,3
11,TP8,40.42754,-86.92185,9,0,13,22,13,0.590909091,32
12,TP19,40.42544,-86.92426,3,0,4,7,4,0.571428571,9
13,TP13,40.42424,-86.91661,9,0,11,20,11,0.55,54
14,TP15,40.42158,-86.91387,4,0,4,8,4,0.5,16
15,TP18,40.4211,-86.91815,9,0,7,16,7,0.4375,10
16,TP6,40.42744,-86.91726,98,3,74,178,77,0.43258427,303
17,TP11,40.42618,-86.91554,16,0,7,23,7,0.304347826,23
18,TP7,40.42829,-86.91915,33,1,13,48,14,0.291666667,38
19,TP22,40.42527,-86.92859,4,0,1,5,1,0.2,4
20,TP21,40.42058,-86.92278,8,0,1,9,1,0.111111111,1
21,TP9,40.42658,-86.912,5,0,0,5,0,0,1
22,TP10,40.42594,-86.91376,5,0,0,5,0,0,0
23,TP14,40.42403,-86.91925,7,0,0,7,0,0,0
24,TP20,40.42395,-86.92268,5,0,0,5,0,0,0
25,TP23,40.42426,-86.92754,5,0,0,5,0,0,0