location,lat,lon,run_num,run_with_onoff_num,run_with_onoff_ratio,duration,rsrp_25_gap_273_371_387410,rsrp_50_gap_273_371_387410,rsrp_75_gap_273_371_387410,rsrp_50_gap_target_other_pcells,target_pcell_usage,target_scell_usage
Point 1,40.42899,-86.92103,8,7,0.875,1340.3,1.086634615,1.068846154,1.245961538,2.024423077,0.956723127,0.956723127
Point 2,40.42894,-86.92019,5,0,0,141.5,5.697083333,4.718333333,3.808333333,-3.649166667,0.25,0.25
Point 3,40.42894,-86.91934,5,0,0,569.7,13.50676471,9.020882353,8.850147059,7.094117647,0.999798135,0.999798135
Point 4,40.4289,-86.91857,5,0,0,682.4,26.31166667,16.84111111,11.79305556,21.94388889,1,1
Point 5,40.42889,-86.9179,5,0,0,636.8,50.96568182,31.49681818,21.68113636,13.92636364,1,1
Point 6,40.42888,-86.91728,5,0,0,622.8,75.0075,70.69833333,59.58083333,14.595,0.333333333,0.333333333
Point 9,40.42809,-86.92103,5,0,0,621.8,13.1825,13.17833333,13.73916667,8.201666667,1,1
Point 10,40.42809,-86.92017,5,0,0,211,4.614642857,3.659285714,3.405,18.13,0.982286067,0.982286067
Point 11,40.42817,-86.91899,7,6,0.857142857,1145.3,1.966916667,1.637333333,1.57,12.863,0.998718043,0.998718043
Point 12,40.4281,-86.91853,6,4,0.666666667,1119.8,4.195,3.741,3.3175,25.5825,0.899873956,0.899873956
Point 13,40.42808,-86.91792,8,1,0.125,1069.8,6.7015,5.659,5.5085,21.519,0.933210976,0.933210976
Point 14,40.42805,-86.91726,22,7,0.318181818,8514.9,16.80310606,12.42575758,10.37151515,5.939242424,0.963258055,0.963258055
Point 15,40.42804,-86.9166,5,0,0,70.3,32.26161765,22.23735294,15.75941176,11.15176471,1,1
Point 17,40.42736,-86.92102,7,5,0.714285714,1001.1,4.263055556,3.67037037,3.18537037,14.91296296,0.999804058,0.999804058
Point 18,40.42734,-86.92015,9,2,0.222222222,1534.9,17.75160714,13.80071429,11.68553571,15.145,0.952089925,0.952089925
Point 19,40.42736,-86.91935,8,2,0.25,1226.6,3.503043478,3.395,3.230543478,8.28173913,0.999954473,0.999954473
Point 20,40.42734,-86.91853,10,0,0,1799,10.78596154,8.649615385,8.060096154,15.99076923,0.932716734,0.932716734
Point 21,40.42733,-86.91785,12,9,0.75,1371.3,3.573269231,3.191346154,2.609038462,11.75057692,0.985847887,0.985847887
Point 22,40.42734,-86.91725,34,27,0.794117647,10768.1,3.779609375,3.0809375,3.213671875,19.1215625,0.95936709,0.95936709
Point 23,40.42733,-86.91659,14,0,0,2526,36.0684,26.8224,19.4022,14.1242,1,1
Point 24,40.42731,-86.91594,5,0,0,304.3,36.0684,26.8224,19.4022,14.1242,1,1
Point 25,40.427,-86.9212,5,1,0.2,424.3,6.07875,5.803333333,5.594166667,9.003333333,1,1
Point 26,40.42694,-86.92025,5,0,0,615,4.043214286,3.94,4.077857143,6.787857143,1,1
Point 27,40.4265,-86.91927,5,0,0,693.5,62.222,50.60033333,39.62783333,8.304666667,0.933333333,0.933333333
Point 28,40.4265,-86.91854,6,0,0,1077.3,46.00571429,40.65,29.75821429,11.23357143,1,1
Point 29,40.42651,-86.91788,5,1,0.2,497.3,22.92021739,16.49782609,13.46195652,8.057173913,0.996779388,0.996779388
Point 31,40.42649,-86.91659,12,6,0.5,2164.1,4.388333333,6.668333333,5.172916667,32.19666667,0.973404255,0.973404255
Point 32,40.42649,-86.91592,5,0,0,646,62.03178571,42.61071429,26.8275,21.39785714,1,1
Point 36,40.4258,-86.91855,5,0,0,273.2,70.3655,61.046,49.1975,10.218,1,1
Point 37,40.42579,-86.91787,5,0,0,341.8,51.34132353,42.07941176,32.43544118,15.55852941,0.684491979,0.684491979
Point 38,40.42576,-86.9173,5,0,0,612.5,50.37375,44.3175,33.7475,17.165,1,1
Point 39,40.42575,-86.91664,5,0,0,500.8,12.42214286,9.085952381,7.444880952,16.43119048,0.972095875,0.972095875
Point 40,40.42573,-86.91594,5,0,0,0,7.701388889,6.583888889,6.4925,9.238333333,1,1
Point 41,40.42617,-86.91609,7,2,0.285714286,1161.7,4.01826087,3.560217391,3.313695652,16.7273913,0.994558353,0.994558353
Point 43,40.42616,-86.91545,10,0,0,2278.5,8.176851852,3.901851852,4.391388889,-9.56537037,0.106359203,0.106359203
Point 44,40.4269,-86.91785,11,6,0.545454545,3961.7,5.8075,5.687741935,5.628387097,8.865,0.992949244,0.992949244
Point 45,40.42733,-86.91696,22,7,0.318181818,3584.6,8.450192308,7.147884615,5.971730769,18.00134615,0.989062246,0.989062246
Point 46,40.42776,-86.91728,16,7,0.4375,4907.8,3.871206897,3.974655172,3.989310345,4.369482759,0.917285613,0.917285613
Point 47,40.42775,-86.91787,9,6,0.666666667,1556.5,1.61,1.66875,1.907916667,16.595,0.889170016,0.889170016
Point 48,40.42838,-86.91857,5,0,0,658.8,5.1815625,5.33625,5.500625,23.30875,1,1
Point 49,40.42861,-86.91929,6,1,0.166666667,802.9,10.17880435,6.415,6.698913043,6.953913043,0.986590817,0.943112556
Point 50,40.42923,-86.92177,5,0,0,662.7,6.7075,5.5525,3.28625,-5.136875,0.104166667,0.104166667
Point 51,40.42733,-86.91827,5,2,0.4,968.8,5.022142857,4.888571429,4.5075,16.48571429,1,1
Point 53,40.42742,-86.92179,10,1,0.1,1416.2,9.823125,7.68875,4.689375,3.796666667,0.807993947,0.807993947